"","NR_CONVENIO","ID_PROPOSTA","SIT_CONVENIO","INSTRUMENTO_ATIVO","IND_OPERA_OBTV","DIA_INIC_VIGENC_CONV","DIA_FIM_VIGENC_CONV","Ano_FIM","DIA_FIM_VIGENC_ORIGINAL_CONV","VL_GLOBAL_CONV","VL_REPASSE_CONV","VL_CONTRAPARTIDA_CONV","VALOR_GLOBAL_ORIGINAL_CONV","VALOR_REPASSE_EMENDA","MUNICIPIO","OBJETO_PROPOSTA","NATUREZA_JURIDICA","NM_PROPONENTE","DESC_ORGAO_SUP","DESC_ORGAO","PORCENT_EMENDA","PORCENT_CONTRAPARTIDA","ATRASO","MESES_ATRASO"
"13",782930,694522,"Prestação de Contas Aprovada","NÃO","SIM","06/11/2013","30/06/2017",2015,"29/07/2015",760055.35,682500,77555.35,760869.57,682500,"SAO JOAO DE MERITI","REVITALIZAÇÃO DE QUADRA NA PRAÇA ARARUAMA","Administração Pública Municipal","MUNICIPIO DE SAO JOAO DE MERITI","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",89.8,10.2,"Sim",23
"14",782931,694524,"Prestação de Contas Concluída","NÃO","SIM","06/11/2013","31/01/2018",2015,"29/07/2015",978260.87,877500,100760.87,NA,877500,"SAO JOAO DE MERITI","CONSTRUÇÃO DE CAMPO DE FUTEBOL NO BAIRRO JARDIM MERITI","Administração Pública Municipal","MUNICIPIO DE SAO JOAO DE MERITI","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",89.7,10.3,"Sim",31
"15",783249,694236,"Prestação de Contas Concluída","NÃO","SIM","31/10/2013","30/06/2018",2015,"21/09/2015",455255.9,438750,16505.9,454683.95,438750,"VASSOURAS","Construção de Pórticos","Administração Pública Municipal","MUNICIPIO DE VASSOURAS","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",96.37,3.63,"Sim",34
"16",783356,693010,"Convênio Anulado","NÃO","SIM","05/11/2013","30/08/2015",2015,"30/08/2015",2444325,2242500,201825,NA,2242500,"QUEIMADOS","CONSTRUÇÃO DA SEGUNDA ETAPA DO ESTÁDIO MUNICIPAL","Administração Pública Municipal","MUNICIPIO DE QUEIMADOS","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",91.74,8.26,"Nao",0
"17",783388,733795,NA,"SIM","SIM","17/01/2014","17/07/2015",2015,"17/07/2015",870000,8e+05,70000,NA,8e+05,"ITAPERUNA","Drenagem, Desassoreamento e Reurbanização do Valão no Bairro Surubi no Município de Itaperuna.","Administração Pública Municipal","MUNICIPIO DE ITAPERUNA","MINISTERIO DO DESENVOLVIMENTO REGIONAL","MINISTERIO DO DESENVOLVIMENTO REGIONAL",91.95,8.05,"Nao",0
"18",783431,749834,"Prestação de Contas Aprovada","NÃO","SIM","26/11/2013","01/05/2018",2015,"01/11/2015",281180.65,243750,37430.65,270000,243750,"CACHOEIRAS DE MACACU","APOIO A PROJETO DE INFRAESTRUTURA TURÍSTICA - REFORMA DE PRAÇA PÚBLICA NO MUNICÍPIO DE CACHOEIRAS DE MACACU/RJ","Administração Pública Municipal","MUNICIPIO DE CACHOEIRAS DE MACACU","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",86.69,13.31,"Sim",30
"19",783434,711394,"Em execução","SIM","SIM","26/11/2013","31/12/2020",2015,"01/11/2015",693413.06,493100,200313.06,6e+05,493100,"CACHOEIRAS DE MACACU","OBRAS DE PAVIMENTAÇÃO E DRENAGEM DE RUAS NO PORTO DO TABOADO","Administração Pública Municipal","MUNICIPIO DE CACHOEIRAS DE MACACU","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",71.11,28.89,"Sim",63
"20",783435,711763,"Prestação de Contas Concluída","NÃO","SIM","26/11/2013","01/08/2018",2015,"01/11/2015",950000,839250,110750,NA,839250,"CACHOEIRAS DE MACACU","OBRAS DE PAVIMENTAÇÃO E DRENAGEM DE RUAS DO BAIRRO SÃO PEDRO EM JAPUÍBA","Administração Pública Municipal","MUNICIPIO DE CACHOEIRAS DE MACACU","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",88.34,11.66,"Sim",33
"21",783437,711775,"Prestação de Contas Concluída","NÃO","SIM","26/11/2013","01/11/2018",2015,"01/11/2015",3e+05,245850,54150,NA,245850,"CACHOEIRAS DE MACACU","OBRAS DE PAVIMENTAÇÃO E DRENAGEM DE RUAS NO PORTO DO TABOADO","Administração Pública Municipal","MUNICIPIO DE CACHOEIRAS DE MACACU","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",81.95,18.05,"Sim",37
"22",783438,711782,"Em execução","SIM","SIM","26/11/2013","31/12/2020",2015,"01/11/2015",9e+05,789800,110200,NA,789800,"CACHOEIRAS DE MACACU","OBRAS DE PAVIMENTAÇÃO E DRENAGEM DE DIVERSAS RUAS DO BAIRRO KM 70","Administração Pública Municipal","MUNICIPIO DE CACHOEIRAS DE MACACU","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",87.76,12.24,"Sim",63
"23",783498,768624,"Convênio Anulado","NÃO","SIM","31/12/2013","01/11/2015",2015,"01/11/2015",529891.3,487500,42391.3,NA,487500,"MARICA","Obra de Urbanização Turística no Município de Maricá localizado na Estrada Gilberto Carvalho S/Nº - 4º Distrito/Itaipuaçu - Maricá/RJ","Administração Pública Municipal","MUNICIPIO DE MARICA","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",92,8,"Nao",0
"24",783512,743771,NA,"SIM","SIM","01/11/2013","30/04/2015",2015,"30/04/2015",9139779.02,7312500,1827279.02,NA,7312500,"NOVA IGUACU","Apoio a Projetos de Infraestrutura Turística - Construção do Centro de Convenções de Tinguá - 1ª Etapa.","Administração Pública Municipal","MUNICIPIO DE NOVA IGUACU","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",80.01,19.99,"Nao",0
"25",783533,726464,"Convênio Anulado","NÃO","SIM","01/11/2013","22/09/2015",2015,"22/09/2015",1794644.52,1482100,312544.52,NA,1482100,"RESENDE","Pavimentação com obras de artes especiais no Município de Resende/RJ","Administração Pública Municipal","MUNICIPIO DE RESENDE","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",82.58,17.42,"Nao",0
"26",783586,732943,"Em execução","SIM","SIM","06/01/2014","09/12/2020",2015,"29/06/2015",572173.47,449554.63,122618.84,636378.13,449554.63,"CAMBUCI","Obras de drenagem com pavimentação nas ruas Manoel Gomes, Travessa Capitão Júlio Velasco e Travessa Valão Dantas, todas localizadas no Bairro Suburbano, Cambuci (RJ).","Administração Pública Municipal","MUNICIPIO DE CAMBUCI","MINISTERIO DO DESENVOLVIMENTO REGIONAL","MINISTERIO DO DESENVOLVIMENTO REGIONAL",78.57,21.43,"Sim",66
"27",784025,693873,"Prestação de Contas em Análise","SIM","SIM","06/11/2013","28/07/2016",2015,"29/07/2015",679248.48,609285.93,69962.55,1630434.78,609285.93,"SAO JOAO DE MERITI","CONSTRUÇÃO DE PRAÇA NO BAIRRO COELHO DA ROCHA","Administração Pública Municipal","MUNICIPIO DE SAO JOAO DE MERITI","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",89.7,10.3,"Sim",12
"28",784116,694521,"Prestação de Contas Concluída","NÃO","SIM","06/11/2013","31/12/2018",2015,"29/07/2015",1280322.32,1148449.56,131872.76,1304347.33,1148449.56,"SAO JOAO DE MERITI","IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA ESPORTIVA NO BAIRRO JARDIM BOTÂNCICO","Administração Pública Municipal","MUNICIPIO DE SAO JOAO DE MERITI","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",89.7,10.3,"Sim",42
"29",784167,720507,"Convênio Anulado","NÃO","SIM","13/12/2013","30/11/2017",2015,"03/09/2015",2175848.09,1755000,420848.09,NA,1755000,"ANGRA DOS REIS","CONSTRUÇÃO DA PRAÇA DA JUVENTUDE","Administração Pública Municipal","MUNICIPIO DE ANGRA DOS REIS","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",80.66,19.34,"Sim",27
"30",784181,722206,"Prestação de Contas Concluída","NÃO","SIM","13/12/2013","30/11/2017",2015,"03/09/2015",521810.76,480065.9,41744.86,520000,480065.9,"ANGRA DOS REIS","IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA ESPORTIVA","Administração Pública Municipal","MUNICIPIO DE ANGRA DOS REIS","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",92,8,"Sim",27
"31",784442,738070,"Em execução","SIM","SIM","06/11/2013","31/12/2020",2015,"27/09/2015",529895.54,485750.94,44144.6,497448.98,485750.94,"BARRA MANSA","QUADRA POLIESPORTIVA - BAIRRO DA INDEPENDENCIA","Administração Pública Municipal","MUNICIPIO DE BARRA MANSA","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",91.67,8.33,"Sim",64
"32",784593,725161,"Prestação de Contas Aprovada","NÃO","SIM","31/12/2013","30/12/2017",2015,"01/11/2015",597000,585000,12000,NA,585000,"ARMACAO DOS BUZIOS","APOIO A PROJETOS DE INFRAESTRUTURA TURÍSTICA - Construção da Praça do Skate.","Administração Pública Municipal","MUNICIPIO DE ARMACAO DE BUZIOS","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",97.99,2.01,"Sim",26
"33",784810,712819,"Convênio Anulado","NÃO","SIM","06/11/2013","29/07/2015",2015,"29/07/2015",1076484,987600,88884,NA,987600,"SAO JOAO DE MERITI","CONSTRUÇÃO DE CICLOVIAS","Administração Pública Municipal","MUNICIPIO DE SAO JOAO DE MERITI","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",91.74,8.26,"Nao",0
"34",784817,719991,"Em execução","SIM","SIM","22/10/2015","31/12/2020",2018,"22/10/2018",1719724.1,1400000,319724.1,1415000,1400000,"RIO DAS FLORES","Reforma e Ampliação do Centro Cultural do Café.","Administração Pública Municipal","MUNICIPIO DE RIO DAS FLORES","MINISTERIO DA CIDADANIA","MINISTERIO DA CIDADANIA",81.41,18.59,"Sim",27
"35",784967,719552,"Convênio Anulado","NÃO","SIM","27/12/2013","17/09/2016",2015,"23/09/2015",742500,682500,60000,NA,682500,"QUEIMADOS","APOIO A PROJETOS DE INFRAESTRUTURA TURÍSTICA - ESTRUTURAÇÃO DO PARQUE MORRO DA BALEIA","Administração Pública Municipal","MUNICIPIO DE QUEIMADOS","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",91.92,8.08,"Sim",12
"36",785036,735099,"Prestação de Contas Concluída","NÃO","SIM","06/11/2013","30/06/2017",2015,"01/11/2015",539496.34,487500,51996.34,540000,487500,"TANGUA","IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA ESPORTIVA","Administração Pública Municipal","MUNICIPIO DE TANGUA","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",90.36,9.64,"Sim",20
"37",785128,719833,"Prestação de Contas Concluída","NÃO","SIM","31/12/2013","01/03/2018",2015,"01/11/2015",3520878.26,3220000,300878.26,NA,3220000,"NITEROI","Revitalização da Rua Moreira Cesar","Administração Pública Municipal","MUNICIPIO DE NITEROI","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",91.45,8.55,"Sim",28
"38",785155,773326,"Prestação de Contas Aprovada","NÃO","SIM","20/12/2013","01/09/2016",2015,"01/11/2015",408007.24,341250,66757.24,380000,341250,"PETROPOLIS","APOIO A PROJETOS DE INFRAESTRUTURA TURÍSTICA - Pavimentação/Drenagem, Acessibilidade e Sinalização no entorno do monumento Trono de Fátima.","Administração Pública Municipal","MUNICIPIO DE PETROPOLIS","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",83.64,16.36,"Sim",10
"39",785231,733305,"Em execução","SIM","SIM","31/12/2013","31/12/2020",2015,"27/09/2015",4249234.04,2965600,1283634.04,3259621.6,2965600,"NOVA IGUACU","Obras de infra-estrutura urbana incluindo saneamento, drenagem e pavimentação em diversas ruas do Bairro Jardim Palmares, em Comendador Soares – Nova Iguaçu – RJ , a saber: Rua Otavio Moreira de Melo com 220,00 ml; Rua Egº Luis de Abreu com 196,00 ml; Rua Luis Antônio com 356,00 ml; Rua José Alves Vieira com 358,00 ml ; Rua Elson de Abreu com 189,00 ml; Estrada dos Lavradores com 250,00 ml; Rua Londres com 239,00 ml Rua Sebatião Germano com 355,00 ml ; Rua Suzete com 55,00 ml ; e Rua Claudete Soares com 179,00ml, Totalizando uma extensão na ordem de 2.396,00 ml.","Administração Pública Municipal","MUNICIPIO DE NOVA IGUACU","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",69.79,30.21,"Sim",64
"40",785236,741126,"Em execução","SIM","SIM","31/12/2013","31/12/2020",2015,"27/09/2015",2173016.85,1976600,196416.85,2161502.4,1976600,"NOVA IGUACU","Obras de infraestrutura urbana, incluindo saneamento, drenagem e pavimentação em diversas ruas do bairro Parque Samar, em Miguel Couto, Nova Iguaçu – RJ. No total, compreendem as obras uma extensão de 1.000,00 metros.","Administração Pública Municipal","MUNICIPIO DE NOVA IGUACU","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",90.96,9.04,"Sim",64
"41",786151,728365,"Convênio Anulado","NÃO","SIM","09/01/2014","09/07/2015",2015,"09/07/2015",1021000,1e+06,21000,NA,1e+06,"IGUABA GRANDE","Implantação de rede extravasora na Rua das Margaridas e Rua José Fernando Bastos ligando o Rio Iguaba a Lagoa de Araruama nos trechos entre a Avenida Beira Rio e a Rodovia Amaral Peixoto no município de Iguaba Grande/RJ.","Administração Pública Municipal","MUNICIPIO DE IGUABA GRANDE","MINISTERIO DO DESENVOLVIMENTO REGIONAL","MINISTERIO DO DESENVOLVIMENTO REGIONAL",97.94,2.06,"Nao",0
"42",786558,742390,"Convênio Anulado","NÃO","SIM","27/12/2013","17/09/2015",2015,"17/09/2015",1447500,1412500,35000,NA,1412500,"AREAL","Restauração da ponte Santana e Restauração do Prédio da rede Ferroviária Alberto Torres (Areal).","Administração Pública Municipal","MUNICIPIO DE AREAL","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",97.58,2.42,"Nao",0
"43",786681,713574,"Convênio Anulado","NÃO","SIM","19/12/2013","09/09/2015",2015,"09/09/2015",503072.66,493011.19,10061.47,503163.27,493011.19,"RIO CLARO","Revitalização do Centro de Rio Claro - Construção de Gazebo e Ponto de Ônibus.","Administração Pública Municipal","MUNICIPIO DE RIO CLARO","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",98,2,"Nao",0
"44",786788,744333,"Prestação de Contas Concluída","NÃO","NÃO","05/11/2013","31/12/2017",2015,"26/09/2015",2329242.33,1500000,829242.33,2053201.42,0,"VOLTA REDONDA","CONSTRUÇÃO DE QUADRAS POLIESPORTIVAS EM PRAÇA PÚBLICA","Administração Pública Municipal","MUNICIPIO DE VOLTA REDONDA","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",0,35.6,"Sim",28
"45",786810,682226,"Convênio Anulado","NÃO","SIM","30/12/2013","01/05/2016",2015,"01/11/2015",2800000,2576000,224000,NA,0,"ITABORAI","Construção de um Centro de Convenções em Itaboraí/RJ.","Administração Pública Municipal","MUNICIPIO DE ITABORAI","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",0,8,"Sim",6
"46",786963,742078,"Em execução","SIM","SIM","18/12/2013","29/09/2020",2015,"31/03/2015",795919,780000,15919,NA,780000,"NOVA FRIBURGO","IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA ESPORTIVA","Administração Pública Municipal","MUNICIPIO DE NOVA FRIBURGO","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",98,2,"Sim",67
"47",786985,745232,"Em execução","SIM","SIM","30/10/2013","01/04/2021",2016,"18/03/2016",1067485.25,877500,189985.25,9e+05,877500,"MENDES","IMPLANTAÇÃO E MODERNIZAÇÃO DE INFRAESTRUTURA ESPORTIVA","Administração Pública Municipal","MUNICIPIO DE MENDES","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",82.2,17.8,"Sim",61
"48",786989,745627,"Prestação de Contas Concluída","NÃO","SIM","12/12/2013","30/09/2017",2015,"02/09/2015",457340.98,448194.16,9146.82,597000,448194.16,"MIGUEL PEREIRA","Implantação e modernização de infraestrutura esportiva","Administração Pública Municipal","MUNICIPIO DE MIGUEL PEREIRA","MINISTERIO DO ESPORTE","MINISTERIO DO ESPORTE",98,2,"Sim",25
"49",787119,675364,"Prestação de Contas Concluída","NÃO","SIM","17/12/2013","17/03/2017",2015,"17/12/2015",786800,606800,180000,NA,0,"RIO DE JANEIRO","O projeto tem como objetivo dinamizar o Centro de Documentação Mulher-Biblioteca Suely Almeida e o Espaço Cultural Heloneida Studart, enriquecendo o acervo da Biblioteca, com a criação de novos produtos e  ações artísticas e culturais junto à população, principalmente, a feminina. Objetiva também contribuir para ampliar e difundir a produção artística das mulheres, valorizando sua imagem nos meios de comunicação e preservando o seu patrimônio cultural.","Administração Pública Estadual ou do Distrito Federal","SECRETARIA DE ESTADO DE ASSISTENCIA SOCIAL E DIREITOS HUMANOS","MINIST. MULHER, FAMILIA E DIREITOS HUMANOS","MINIST. MULHER, FAMILIA E DIREITOS HUMANOS",0,22.88,"Sim",15
"50",787294,752411,"Convênio Anulado","NÃO","SIM","02/12/2013","30/09/2017",2015,"18/11/2015",1103082,944440,158642,NA,0,"NITEROI","Desenvolver um dispositivo, o TB-Catch, que permite a captura do bacilo da tuberculose através da filtragem do ar emitido com a tosse","Empresa pública/Sociedade de economia mista","INSTITUTO VITAL BRAZIL S/A (CENTRO DE PESQUISAS, PRODUTOS QUIMICOS E BIOLOGICOS)","MINISTERIO DA SAUDE","MINISTERIO DA SAUDE",0,14.38,"Sim",23
"51",787427,724155,"Em execução","SIM","SIM","06/11/2013","30/08/2020",2015,"10/01/2015",302000,295300,6700,NA,295300,"SAO FIDELIS","Implantação e/ou melhorias de infra-estrutura urbana na realização de serviços de calçamento de ruas com paralelepípedos no município de São Fidélis/RJ.","Administração Pública Municipal","MUNICIPIO DE SAO FIDELIS","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",97.78,2.22,"Sim",69
"52",787667,751972,"Convênio Anulado","NÃO","SIM","19/12/2013","19/09/2016",2016,"19/09/2016",465000,446400,18600,NA,0,"RIO CLARO","Implantação de Práticas de Conservação de Solos em Propriedades Contratadas no Âmbito do Projeto Produtores de Água e Floresta, nas Bacias do Rio Parado e Rio das Pedras, em Rio Claro - RJ","Administração Pública Municipal","MUNICIPIO DE RIO CLARO","MINISTERIO DO DESENVOLVIMENTO REGIONAL","AGENCIA NACIONAL DE AGUAS",0,4,"Nao",0
"53",787832,758874,"Convênio Anulado","NÃO","SIM","27/12/2013","17/09/2016",2016,"17/09/2016",301300,295300,6000,NA,295300,"AREAL","Infra Estrutura - Drenagem Urbana em parte da rua Manoel Martins Junior.","Administração Pública Municipal","MUNICIPIO DE AREAL","MINISTERIO DAS CIDADES","MINISTERIO DAS CIDADES",98.01,1.99,"Nao",0
"54",787892,773037,"Convênio Anulado","NÃO","SIM","31/12/2013","31/12/2017",2015,"31/12/2015",1040000,1e+06,40000,NA,0,"CARAPEBUS","Sistema de Esgotamento Sanitário.","Administração Pública Municipal","MUNICIPIO DE CARAPEBUS","MINISTERIO DA SAUDE","FUNDACAO NACIONAL DE SAUDE",0,3.85,"Sim",24
"55",787955,747399,"Convênio Anulado","NÃO","SIM","31/12/2013","31/12/2017",2015,"31/12/2015",1040000,1e+06,40000,NA,0,"CARAPEBUS","Sistema de Esgotamento Sanitário.","Administração Pública Municipal","MUNICIPIO DE CARAPEBUS","MINISTERIO DA SAUDE","FUNDACAO NACIONAL DE SAUDE",0,3.85,"Sim",24
"56",788015,723046,"Convênio Anulado","NÃO","SIM","27/12/2013","24/12/2015",2015,"24/12/2015",2967391.3,2730000,237391.3,NA,2730000,"RIO DE JANEIRO","Apoio a Projeto de Infraestrutura Turística - Implantação, ampliação e recuperação de praças públicas","Administração Pública Municipal","MUNICIPIO DE RIO DE JANEIRO","MINISTERIO DO TURISMO","MINISTERIO DO TURISMO",92,8,"Nao",0
